City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Sorland,NO,67.667,12.6934,26.67,63,15,15.9,few clouds
247,Coquimbo,CL,-29.9533,-71.3436,67.73,63,20,13.8,few clouds
248,Jiujiang,CN,29.7333,115.9833,50.02,60,0,3.11,clear sky
249,Vermilion,US,40.1667,-87.7506,45.97,66,1,8.01,clear sky
250,Ahipara,NZ,-35.1667,173.1667,70.25,72,98,7.11,overcast clouds
251,High Level,CA,58.5169,-117.136,10.51,92,75,4.61,broken clouds
252,Liwale,TZ,-9.7667,37.9333,71.71,84,37,4.34,scattered clouds
253,Sarany,RU,58.5,58.8833,1.45,96,100,7.29,overcast clouds
254,Deputatskiy,RU,69.3,139.9,-26.52,87,99,5.5,overcast clouds
255,Kahului,US,20.8947,-156.47,73.42,82,75,14.97,light rain
256,Tarata,BO,-17.6167,-66.0167,63.82,57,100,2.82,light rain
257,Tateyama,JP,34.9833,139.8667,50.05,61,0,9.46,clear sky
258,Verkhoyansk,RU,67.5447,133.385,-33.84,89,100,2.17,overcast clouds
259,Cidreira,BR,-30.1811,-50.2056,75.92,80,100,7.92,overcast clouds
260,Saldanha,ZA,-33.0117,17.9442,68.05,89,83,14.0,broken clouds
261,Piacabucu,BR,-10.4056,-36.4344,80.47,78,83,14.29,broken clouds
262,Alpena,US,45.0617,-83.4327,32.32,79,90,1.01,overcast clouds
263,Gigmoto,PH,13.7796,124.39,77.95,88,93,4.23,overcast clouds
264,Vestmannaeyjar,IS,63.4427,-20.2734,40.96,82,100,16.58,overcast clouds
265,Lazaro Cardenas,MX,17.9583,-102.2,83.46,66,16,8.52,few clouds
266,Cartagena Del Chaira,CO,1.3349,-74.8429,88.74,56,100,0.87,overcast clouds
267,Dumas,US,35.8656,-101.9732,65.62,12,1,13.8,clear sky
268,Labuhan,ID,-6.8844,112.2051,77.31,87,100,2.53,overcast clouds
269,Carauari,BR,-4.8828,-66.8958,78.3,94,100,1.88,overcast clouds
270,Fomboni,KM,-12.28,43.7425,81.95,70,0,1.3,clear sky
271,Cabo San Lucas,MX,22.8909,-109.9124,82.62,54,1,5.99,clear sky
272,Saint-Augustin,CA,51.226,-58.6502,15.89,91,100,11.92,overcast clouds
273,Dicabisagan,PH,17.0818,122.4157,76.23,90,74,1.97,broken clouds
274,Villiers,ZA,-27.0303,28.6006,63.99,66,92,2.24,overcast clouds
275,Bien Hoa,VN,10.95,106.8167,76.98,89,100,3.51,overcast clouds
276,Kruisfontein,ZA,-34.0033,24.7314,64.89,91,85,0.69,overcast clouds
277,Karratha,AU,-20.7377,116.8463,82.18,74,60,9.48,broken clouds
278,Ribeira Grande,PT,38.5167,-28.7,59.4,82,75,23.02,broken clouds
279,Acajutla,SV,13.5928,-89.8275,95.34,59,28,8.46,scattered clouds
280,Winslow,US,35.0242,-110.6974,39.38,41,40,5.75,scattered clouds
281,Terney,RU,45.0503,136.6092,3.67,76,47,17.92,scattered clouds
282,Inverell,AU,-29.7833,151.1167,71.67,86,87,1.99,overcast clouds
283,Samana,DO,19.2056,-69.3369,82.62,78,40,4.61,scattered clouds
284,Marawi,PH,7.9986,124.2928,63.64,93,61,1.95,broken clouds
285,Hauterive,FR,46.0901,3.4459,29.75,85,6,2.08,clear sky
286,Krugersdorp,ZA,-26.0858,27.7752,65.62,79,96,2.64,overcast clouds
287,Pakokku,MM,21.3333,95.1,65.05,72,1,2.62,clear sky
288,Bull Savanna,JM,17.8868,-77.5902,79.61,69,85,11.39,overcast clouds
289,Tazmalt,DZ,36.3868,4.3989,55.6,57,63,4.83,broken clouds
290,Baruun-Urt,MN,46.6806,113.2792,-0.58,92,96,3.38,overcast clouds
291,Rocky Mountain House,CA,52.3668,-114.9188,21.31,73,100,1.14,overcast clouds
292,Stabat,ID,3.761,98.4513,75.4,97,100,2.86,overcast clouds
293,Port Macquarie,AU,-31.4333,152.9167,80.89,81,95,5.79,overcast clouds
294,Sola,VU,-13.8833,167.55,81.27,89,20,0.0,few clouds
295,Iranduba,BR,-3.2847,-60.1861,80.89,75,100,2.59,overcast clouds
296,Seydi,TM,39.4816,62.9137,51.58,45,23,12.3,few clouds
297,Nurota,UZ,40.5614,65.6886,51.89,59,72,18.66,broken clouds
298,Bugiri,UG,0.5714,33.7417,67.32,88,75,3.67,broken clouds
299,Ugoofaaru,MV,5.6667,73.0,80.74,75,96,7.29,overcast clouds
300,Graham,US,47.0529,-122.2943,40.03,92,90,0.0,mist
301,Zhigansk,RU,66.7697,123.3711,-51.7,98,100,4.72,overcast clouds
302,Mount Isa,AU,-20.7333,139.5,76.77,73,47,0.0,scattered clouds
303,Flinders,AU,-34.5833,150.8552,72.21,85,94,4.85,overcast clouds
304,Guerrero Negro,MX,27.9769,-114.0611,70.09,30,100,9.78,overcast clouds
305,Kaitangata,NZ,-46.2817,169.8464,64.92,63,89,8.55,overcast clouds
306,Gravdal,NO,68.1214,13.5031,26.49,74,0,5.75,clear sky
307,San Jeronimo,PE,-11.9472,-75.2829,64.76,48,100,3.22,overcast clouds
308,Biak,ID,-0.9131,122.8766,76.33,79,100,2.84,overcast clouds
309,Kungurtug,RU,50.5994,97.5228,11.61,98,100,2.37,overcast clouds
310,Dudinka,RU,69.4058,86.1778,-23.73,91,96,8.39,overcast clouds
311,Codajas,BR,-3.8367,-62.0569,81.37,89,100,2.46,moderate rain
312,Lahaina,US,20.8783,-156.6825,74.95,71,100,10.8,light rain
313,Port Augusta,AU,-32.5,137.7667,71.71,63,3,14.03,clear sky
314,Copiapo,CL,-27.3667,-70.3333,65.89,38,1,8.34,clear sky
315,Moranbah,AU,-22.0016,148.0466,74.88,71,0,6.76,clear sky
316,Zyryanka,RU,65.75,150.85,-36.89,95,13,7.78,few clouds
317,San Andres,CO,12.5847,-81.7006,80.62,78,75,4.61,broken clouds
318,Sault Sainte Marie,CA,46.5168,-84.3333,26.89,86,90,5.75,snow
319,Yerbogachen,RU,61.2767,108.0108,-38.96,100,56,2.1,broken clouds
320,Te Anau,NZ,-45.4167,167.7167,60.49,58,23,10.92,few clouds
321,Morros,BR,-9.4467,-46.3003,73.81,91,100,3.38,overcast clouds
322,Manaure,CO,11.7751,-72.4445,93.31,57,90,12.37,overcast clouds
323,Pacifica,US,37.6138,-122.4869,61.88,75,75,3.0,moderate rain
324,Kumeny,RU,58.1089,49.9161,-9.44,100,86,6.11,overcast clouds
325,Vao,NC,-22.6667,167.4833,76.1,79,66,12.68,broken clouds
326,Barra Patuca,HN,15.8,-84.2833,80.33,70,0,6.67,clear sky
327,Grants,US,35.1473,-107.8514,48.43,20,1,3.44,clear sky
328,Yarkovo,RU,57.4028,67.0786,27.16,84,100,13.35,overcast clouds
329,Saint George,US,37.1041,-113.5841,59.34,48,1,1.99,clear sky
330,Cururupu,BR,-1.8283,-44.8683,80.31,77,98,6.11,overcast clouds
331,Mayumba,GA,-3.432,10.6554,78.22,93,96,6.49,light rain
332,Staryy Nadym,RU,65.6118,72.6842,-8.05,99,90,8.97,overcast clouds
333,Muroto,JP,33.2833,134.15,41.04,63,0,6.55,clear sky
334,Limbang,MY,4.75,115.0,77.31,96,90,2.06,overcast clouds
335,Luderitz,NA,-26.6481,15.1594,60.31,87,0,2.35,clear sky
336,Kirkland Lake,CA,48.1446,-80.0377,7.63,72,100,5.59,light snow
337,Grindavik,IS,63.8424,-22.4338,39.15,93,75,6.91,broken clouds
338,Hay River,CA,60.8156,-115.7999,-11.22,77,75,5.75,broken clouds
339,Bosaso,SO,11.2842,49.1816,76.73,72,91,5.73,overcast clouds
340,Katsuura,JP,35.1333,140.3,50.14,64,0,9.91,clear sky
341,Svetlyy,RU,54.675,20.1347,19.45,76,99,10.0,light snow
342,Naze,JP,28.3667,129.4833,57.22,89,100,1.95,overcast clouds
343,Puerto Del Rosario,ES,28.5004,-13.8627,67.68,72,20,0.0,few clouds
344,Port Hardy,CA,50.6996,-127.4199,37.4,75,75,6.91,broken clouds
